TERM_START_DATE,SKIP_RATE
2020-11-02,0.324504
2020-11-09,0.333610
2020-11-16,0.289779
2020-11-23,0.493492
2020-11-30,0.287522
2020-12-07,0.299377
2020-12-14,0.312037
2020-12-21,0.440369
2021-01-04,0.299496
2021-01-11,0.280273
2021-01-18,0.310931
2021-01-25,0.295477
2021-02-01,0.303349
2021-02-08,0.308545
2021-02-15,0.327121
2021-02-22,0.337468
2021-03-01,0.337810
2021-03-08,0.335815
2021-03-15,0.353492
2021-03-22,0.362395
2021-03-29,0.388264
2021-04-05,0.343420
2021-04-12,0.381448
2021-04-19,0.339076
2021-04-26,0.364272
2021-05-03,0.369490
2021-05-10,0.363284
2021-05-17,0.370772
2021-05-24,0.382198
2021-05-31,0.387954
2021-06-07,0.354948
2021-06-14,0.350985
2021-06-21,0.360828
2021-06-28,0.397446
2021-07-05,0.398683
2021-07-12,0.362959
2021-07-19,0.382305
2021-07-26,0.392029
2021-08-02,0.382839
2021-08-09,0.376628
2021-08-16,0.381253
2021-08-23,0.368132
2021-08-30,0.369437
2021-09-06,0.356735
2021-09-13,0.324351
2021-09-20,0.335348
2021-09-27,0.327092
2021-10-04,0.336627
2021-10-11,0.336243
2021-10-18,0.344349
2021-10-25,0.339842
2021-11-01,0.340656
2021-11-08,0.345440
2021-11-15,0.351745
2021-11-22,0.532171
2021-11-29,0.360459
2021-12-06,0.330241
2021-12-13,0.361620
2021-12-20,0.481184
2022-01-03,0.308352
2022-01-10,0.319834
2022-01-17,0.302257
2022-01-24,0.336479
2022-01-31,0.334635
2022-02-07,0.332338
2022-02-14,0.340514
2022-02-21,0.346588
2022-02-28,0.344206
2022-03-07,0.360026
2022-03-14,0.379711
2022-03-21,0.368230
2022-03-28,0.377325
2022-04-04,0.352628
2022-04-11,0.390500
2022-04-18,0.366544
2022-04-25,0.371130
2022-05-02,0.346264
2022-05-09,0.377332
2022-05-16,0.401029
2022-05-23,0.410016
2022-05-30,0.408341
2022-06-06,0.392333
2022-06-13,0.399236
2022-06-20,0.407226
2022-06-27,0.421402
2022-07-04,0.453833
2022-07-11,0.422937
2022-07-18,0.426104
2022-07-25,0.445225
2022-08-01,0.422216
2022-08-08,0.419919
2022-08-15,0.424673
2022-08-22,0.390147
2022-08-29,0.413002
2022-09-05,0.420457
2022-09-12,0.402264
2022-09-19,0.389936
2022-09-26,0.417341
2022-10-03,0.407062
2022-10-10,0.412897
2022-10-17,0.412248
2022-10-24,0.408353
2022-10-31,0.397313
2022-11-07,0.401108
2022-11-14,0.408749
2022-11-21,0.560321
2022-11-28,0.396203
2022-12-05,0.366958
2022-12-12,0.380273
2022-12-19,0.467382
2023-01-02,0.355876
2023-01-09,0.358326
2023-01-16,0.356446
2023-01-23,0.356938
2023-01-30,0.365341
2023-02-06,0.368830
2023-02-13,0.372362
2023-02-20,0.401230
